event_id,origintime,event_magnitude,event_azimuth_from_crater_deg,event_distance_from_crater_km,network,station,location,channel,latitude,longitude,hypocentral_distance_km,epicentral_distance_km,p_guide_s,s_guide_s,coda_start_s,frequency_min_hz,frequency_max_hz,frequency_band,window_index,window_start_s,window_end_s,noise_rms,coda_rms,snr,passes_snr
2025p969626,2025-12-25T18:16:50.734Z,4.71959311567875,166.7650367596879,167.00015900285425,NZ,ETVZ,10,HHZ,-39.1357,175.7106,168.5780037371075,167.86422891268924,28.096333956184584,48.16514392488786,96.33028784977571,1.0,10.0,1-10Hz,0,96.33028784977571,106.33028784977571,2.4078512959885355e-07,3.918314360276181e-06,16.273074532484905,True
2025p969626,2025-12-25T18:16:50.734Z,4.71959311567875,166.7650367596879,167.00015900285425,NZ,ETVZ,10,HHZ,-39.1357,175.7106,168.5780037371075,167.86422891268924,28.096333956184584,48.16514392488786,96.33028784977571,1.0,10.0,1-10Hz,1,101.33028784977571,111.33028784977571,2.4078512959885355e-07,2.9919216269685555e-06,12.425691038117998,True
2025p969626,2025-12-25T18:16:50.734Z,4.71959311567875,166.7650367596879,167.00015900285425,NZ,ETVZ,10,HHZ,-39.1357,175.7106,168.5780037371075,167.86422891268924,28.096333956184584,48.16514392488786,96.33028784977571,1.0,10.0,1-10Hz,2,106.33028784977571,116.33028784977571,2.4078512959885355e-07,2.2957466612878477e-06,9.534420439968807,True
2025p969626,2025-12-25T18:16:50.734Z,4.71959311567875,166.7650367596879,167.00015900285425,NZ,NGZ,10,HHZ,-39.175583868,175.601172722,166.3247134149552,165.60122673769806,27.7207855691592,47.5213466899872,95.0426933799744,1.0,10.0,1-10Hz,0,95.0426933799744,105.0426933799744,1.63302295804509e-07,2.994629428435042e-06,18.337950570027175,True
2025p969626,2025-12-25T18:16:50.734Z,4.71959311567875,166.7650367596879,167.00015900285425,NZ,NGZ,10,HHZ,-39.175583868,175.601172722,166.3247134149552,165.60122673769806,27.7207855691592,47.5213466899872,95.0426933799744,1.0,10.0,1-10Hz,1,100.0426933799744,110.0426933799744,1.63302295804509e-07,2.452586675213246e-06,15.018690724037738,True
2025p969626,2025-12-25T18:16:50.734Z,4.71959311567875,166.7650367596879,167.00015900285425,NZ,NGZ,10,HHZ,-39.175583868,175.601172722,166.3247134149552,165.60122673769806,27.7207855691592,47.5213466899872,95.0426933799744,1.0,10.0,1-10Hz,2,105.0426933799744,115.0426933799744,1.63302295804509e-07,2.029695976025369e-06,12.429071900220807,True
2025p969626,2025-12-25T18:16:50.734Z,4.71959311567875,166.7650367596879,167.00015900285425,NZ,WTVZ,10,HHZ,-39.115252619,175.589692806,173.03351519639307,172.33819479640576,28.838919199398845,49.438147198969446,98.87629439793889,1.0,10.0,1-10Hz,0,98.87629439793889,108.87629439793889,2.2097529064686233e-07,2.5383755179466476e-06,11.487146415855118,True
2025p969626,2025-12-25T18:16:50.734Z,4.71959311567875,166.7650367596879,167.00015900285425,NZ,WTVZ,10,HHZ,-39.115252619,175.589692806,173.03351519639307,172.33819479640576,28.838919199398845,49.438147198969446,98.87629439793889,1.0,10.0,1-10Hz,1,103.87629439793889,113.87629439793889,2.2097529064686233e-07,2.361670537605599e-06,10.687486961516223,True
2025p969626,2025-12-25T18:16:50.734Z,4.71959311567875,166.7650367596879,167.00015900285425,NZ,WTVZ,10,HHZ,-39.115252619,175.589692806,173.03351519639307,172.33819479640576,28.838919199398845,49.438147198969446,98.87629439793889,1.0,10.0,1-10Hz,2,108.87629439793889,118.87629439793889,2.2097529064686233e-07,2.0546796729703643e-06,9.298232698125151,True
2025p969626,2025-12-25T18:16:50.734Z,4.71959311567875,166.7650367596879,167.00015900285425,NZ,NOVZ,10,EHZ,-39.126493,175.610657,171.39535747246347,170.69336415800424,28.565892912077246,48.97010213498957,97.94020426997913,1.0,10.0,1-10Hz,0,97.94020426997913,107.94020426997913,2.0519693076028287e-07,2.6235445878242986e-06,12.78549624550282,True
2025p969626,2025-12-25T18:16:50.734Z,4.71959311567875,166.7650367596879,167.00015900285425,NZ,NOVZ,10,EHZ,-39.126493,175.610657,171.39535747246347,170.69336415800424,28.565892912077246,48.97010213498957,97.94020426997913,1.0,10.0,1-10Hz,1,102.94020426997913,112.94020426997913,2.0519693076028287e-07,2.847063800086317e-06,13.874787451925103,True
2025p969626,2025-12-25T18:16:50.734Z,4.71959311567875,166.7650367596879,167.00015900285425,NZ,NOVZ,10,EHZ,-39.126493,175.610657,171.39535747246347,170.69336415800424,28.565892912077246,48.97010213498957,97.94020426997913,1.0,10.0,1-10Hz,2,107.94020426997913,117.94020426997913,2.0519693076028287e-07,2.742109708845265e-06,13.363307622026172,True
2025p969626,2025-12-25T18:16:50.734Z,4.71959311567875,166.7650367596879,167.00015900285425,NZ,KRVZ,10,HHZ,-39.094442315,175.641203517,174.25483366732936,173.5644060886106,29.042472277888226,49.78709533352268,99.57419066704536,1.0,10.0,1-10Hz,0,99.57419066704536,109.57419066704536,2.4066132660170725e-07,2.188842153875982e-06,9.09511380488025,True
2025p969626,2025-12-25T18:16:50.734Z,4.71959311567875,166.7650367596879,167.00015900285425,NZ,KRVZ,10,HHZ,-39.094442315,175.641203517,174.25483366732936,173.5644060886106,29.042472277888226,49.78709533352268,99.57419066704536,1.0,10.0,1-10Hz,1,104.57419066704536,114.57419066704536,2.4066132660170725e-07,1.6355749962887404e-06,6.796168787831895,True
2025p969626,2025-12-25T18:16:50.734Z,4.71959311567875,166.7650367596879,167.00015900285425,NZ,KRVZ,10,HHZ,-39.094442315,175.641203517,174.25483366732936,173.5644060886106,29.042472277888226,49.78709533352268,99.57419066704536,1.0,10.0,1-10Hz,2,109.57419066704536,119.57419066704536,2.4066132660170725e-07,1.1402013393206473e-06,4.737783820196721,True
2025p969626,2025-12-25T18:16:50.734Z,4.71959311567875,166.7650367596879,167.00015900285425,NZ,TMVZ,10,HHZ,-39.11561,175.704064,170.8653493031768,170.16116947458997,28.477558217196133,48.81867122947909,97.63734245895817,1.0,10.0,1-10Hz,0,97.63734245895817,107.63734245895817,2.1869131909819433e-07,3.122287263060217e-06,14.277143125458412,True
2025p969626,2025-12-25T18:16:50.734Z,4.71959311567875,166.7650367596879,167.00015900285425,NZ,TMVZ,10,HHZ,-39.11561,175.704064,170.8653493031768,170.16116947458997,28.477558217196133,48.81867122947909,97.63734245895817,1.0,10.0,1-10Hz,1,102.63734245895817,112.63734245895817,2.1869131909819433e-07,2.071589143715042e-06,9.472662894245381,True
