event_id,origintime,event_magnitude,event_azimuth_from_crater_deg,station,frequency_band,frequency_min_hz,frequency_max_hz,window_index,reference,coda_rms,denominator_rms,site_ratio,snr
2025p969626,2025-12-25T18:16:50.734Z,4.71959311567875,166.7650367596879,NGZ,1-10Hz,1.0,10.0,1,OTVZ,2.452586675213246e-06,3.2028785440984692e-06,0.765744514331432,15.018690724037738
2025p969626,2025-12-25T18:16:50.734Z,4.71959311567875,166.7650367596879,WTVZ,1-10Hz,1.0,10.0,1,OTVZ,2.361670537605599e-06,3.2028785440984692e-06,0.7373587555972562,10.687486961516223
2025p969626,2025-12-25T18:16:50.734Z,4.71959311567875,166.7650367596879,NOVZ,1-10Hz,1.0,10.0,1,OTVZ,2.847063800086317e-06,3.2028785440984692e-06,0.8889078249102621,13.874787451925103
2025p969626,2025-12-25T18:16:50.734Z,4.71959311567875,166.7650367596879,KRVZ,1-10Hz,1.0,10.0,1,OTVZ,1.6355749962887404e-06,3.2028785440984692e-06,0.5106578266298618,6.796168787831895
2025p969626,2025-12-25T18:16:50.734Z,4.71959311567875,166.7650367596879,TMVZ,1-10Hz,1.0,10.0,1,OTVZ,2.071589143715042e-06,3.2028785440984692e-06,0.6467897908686209,9.472662894245381
2025p969626,2025-12-25T18:16:50.734Z,4.71959311567875,166.7650367596879,NTVZ,1-10Hz,1.0,10.0,1,OTVZ,1.3900302317361768e-06,3.2028785440984692e-06,0.43399405022628973,5.190327460349593
2025p969626,2025-12-25T18:16:50.734Z,4.71959311567875,166.7650367596879,COVZ,1-10Hz,1.0,10.0,1,OTVZ,2.4563122608369123e-06,3.2028785440984692e-06,0.7669077134888058,12.31592962379526
2025p969626,2025-12-25T18:16:50.734Z,4.71959311567875,166.7650367596879,FWVZ,1-10Hz,1.0,10.0,1,OTVZ,1.6456323143137343e-06,3.2028785440984692e-06,0.5137979138628058,14.061686230948997
2025p969626,2025-12-25T18:16:50.734Z,4.71959311567875,166.7650367596879,WHVZ,1-10Hz,1.0,10.0,1,OTVZ,2.2920571933830762e-06,3.2028785440984692e-06,0.7156241367960562,35.0803568448731
2025p969626,2025-12-25T18:16:50.734Z,4.71959311567875,166.7650367596879,TWVZ,1-10Hz,1.0,10.0,1,OTVZ,9.527688077182646e-07,3.2028785440984692e-06,0.29747266235674424,3.261354854489152
2025p969626,2025-12-25T18:16:50.734Z,4.71959311567875,166.7650367596879,MAVZ,1-10Hz,1.0,10.0,1,OTVZ,2.7184851702270583e-06,3.2028785440984692e-06,0.8487631150535071,25.61293367868399
2025p969626,2025-12-25T18:16:50.734Z,4.71959311567875,166.7650367596879,TRVZ,1-10Hz,1.0,10.0,1,OTVZ,2.639783134996774e-06,3.2028785440984692e-06,0.8241908329183327,20.354339502601583
2025p969626,2025-12-25T18:16:50.734Z,4.71959311567875,166.7650367596879,TUVZ,1-10Hz,1.0,10.0,1,OTVZ,5.438959614033183e-06,3.2028785440984692e-06,1.6981473194026828,26.192731771173506
2025p969626,2025-12-25T18:16:50.734Z,4.71959311567875,166.7650367596879,OTVZ,1-10Hz,1.0,10.0,2,OTVZ,2.594558371078983e-06,2.594558371078983e-06,1.0,14.844171369682543
2025p969626,2025-12-25T18:16:50.734Z,4.71959311567875,166.7650367596879,SNVZ,1-10Hz,1.0,10.0,2,OTVZ,2.005126448763742e-06,2.594558371078983e-06,0.7728199415802245,11.911148125275682
2025p969626,2025-12-25T18:16:50.734Z,4.71959311567875,166.7650367596879,ETVZ,1-10Hz,1.0,10.0,2,OTVZ,2.2957466612878477e-06,2.594558371078983e-06,0.8848313789653265,9.534420439968807
2025p969626,2025-12-25T18:16:50.734Z,4.71959311567875,166.7650367596879,NGZ,1-10Hz,1.0,10.0,2,OTVZ,2.029695976025369e-06,2.594558371078983e-06,0.7822895790859745,12.429071900220807
2025p969626,2025-12-25T18:16:50.734Z,4.71959311567875,166.7650367596879,WTVZ,1-10Hz,1.0,10.0,2,OTVZ,2.0546796729703643e-06,2.594558371078983e-06,0.7919188467191423,9.298232698125151
2025p969626,2025-12-25T18:16:50.734Z,4.71959311567875,166.7650367596879,NOVZ,1-10Hz,1.0,10.0,2,OTVZ,2.742109708845265e-06,2.594558371078983e-06,1.0568695387280576,13.363307622026172
2025p969626,2025-12-25T18:16:50.734Z,4.71959311567875,166.7650367596879,KRVZ,1-10Hz,1.0,10.0,2,OTVZ,1.1402013393206473e-06,2.594558371078983e-06,0.43945873487767356,4.737783820196721
2025p969626,2025-12-25T18:16:50.734Z,4.71959311567875,166.7650367596879,TMVZ,1-10Hz,1.0,10.0,2,OTVZ,1.8818359323838226e-06,2.594558371078983e-06,0.7253010583073662,8.604986883539084
2025p969626,2025-12-25T18:16:50.734Z,4.71959311567875,166.7650367596879,NTVZ,1-10Hz,1.0,10.0,2,OTVZ,1.3199449964865065e-06,2.594558371078983e-06,0.5087359032657219,4.92863148225056
2025p969626,2025-12-25T18:16:50.734Z,4.71959311567875,166.7650367596879,COVZ,1-10Hz,1.0,10.0,2,OTVZ,2.2457072140764007e-06,2.594558371078983e-06,0.8655450727602989,11.259957638606856
2025p969626,2025-12-25T18:16:50.734Z,4.71959311567875,166.7650367596879,FWVZ,1-10Hz,1.0,10.0,2,OTVZ,1.4296746671653016e-06,2.594558371078983e-06,0.5510281376212599,12.216359880122177
2025p969626,2025-12-25T18:16:50.734Z,4.71959311567875,166.7650367596879,WHVZ,1-10Hz,1.0,10.0,2,OTVZ,1.949974628531137e-06,2.594558371078983e-06,0.7515632140972851,29.844720282199496
2025p969626,2025-12-25T18:16:50.734Z,4.71959311567875,166.7650367596879,TWVZ,1-10Hz,1.0,10.0,2,OTVZ,6.28942529229986e-07,2.594558371078983e-06,0.2424083174387908,2.1528882497856134
2025p969626,2025-12-25T18:16:50.734Z,4.71959311567875,166.7650367596879,MAVZ,1-10Hz,1.0,10.0,2,OTVZ,2.133705646797736e-06,2.594558371078983e-06,0.8223771993653028,20.103277303035398
2025p969626,2025-12-25T18:16:50.734Z,4.71959311567875,166.7650367596879,TRVZ,1-10Hz,1.0,10.0,2,OTVZ,1.6820393245850462e-06,2.594558371078983e-06,0.6482950406259493,12.969550041985753
2025p969626,2025-12-25T18:16:50.734Z,4.71959311567875,166.7650367596879,TUVZ,1-10Hz,1.0,10.0,2,OTVZ,5.415726410577593e-06,2.594558371078983e-06,2.0873403624083386,26.080846206749154
2025p806773,2025-10-26T12:08:40.296Z,4.4762516096843825,112.87093749788103,OTVZ,1-10Hz,1.0,10.0,0,OTVZ,6.037256082855763e-06,6.037256082855763e-06,1.0,44.14471592322054
2025p806773,2025-10-26T12:08:40.296Z,4.4762516096843825,112.87093749788103,SNVZ,1-10Hz,1.0,10.0,0,OTVZ,3.5855342576696785e-06,6.037256082855763e-06,0.5939013035825437,23.867355053996924
2025p806773,2025-10-26T12:08:40.296Z,4.4762516096843825,112.87093749788103,ETVZ,1-10Hz,1.0,10.0,0,OTVZ,5.062276792229933e-06,6.037256082855763e-06,0.8385062224883061,83.62276607514299
2025p806773,2025-10-26T12:08:40.296Z,4.4762516096843825,112.87093749788103,NGZ,1-10Hz,1.0,10.0,0,OTVZ,3.6814068783588855e-06,6.037256082855763e-06,0.6097814682423566,72.25313061471424
2025p806773,2025-10-26T12:08:40.296Z,4.4762516096843825,112.87093749788103,WTVZ,1-10Hz,1.0,10.0,0,OTVZ,2.2329579483226293e-06,6.037256082855763e-06,0.3698630499812074,85.83464494044573
2025p806773,2025-10-26T12:08:40.296Z,4.4762516096843825,112.87093749788103,NOVZ,1-10Hz,1.0,10.0,0,OTVZ,3.6095336853553833e-06,6.037256082855763e-06,0.5978765246691324,118.38267262985758
2025p806773,2025-10-26T12:08:40.296Z,4.4762516096843825,112.87093749788103,KRVZ,1-10Hz,1.0,10.0,0,OTVZ,2.701611166056684e-06,6.037256082855763e-06,0.44748990749763906,67.74588238694813
2025p806773,2025-10-26T12:08:40.296Z,4.4762516096843825,112.87093749788103,TMVZ,1-10Hz,1.0,10.0,0,OTVZ,3.560433774651244e-06,6.037256082855763e-06,0.5897437057145795,53.65772563934183
2025p806773,2025-10-26T12:08:40.296Z,4.4762516096843825,112.87093749788103,NTVZ,1-10Hz,1.0,10.0,0,OTVZ,2.9387569223129164e-06,6.037256082855763e-06,0.48677029464730204,39.80607642674618
2025p806773,2025-10-26T12:08:40.296Z,4.4762516096843825,112.87093749788103,COVZ,1-10Hz,1.0,10.0,0,OTVZ,4.209190963390967e-06,6.037256082855763e-06,0.6972026539248476,174.1348314792528
2025p806773,2025-10-26T12:08:40.296Z,4.4762516096843825,112.87093749788103,FWVZ,1-10Hz,1.0,10.0,0,OTVZ,1.879249043101054e-06,6.037256082855763e-06,0.3112753571009904,18.59000928794617
