combination_name,combination_code,seismic_velocity_mps,seismic_velocity_kmps,best_x_m,best_y_m,best_z_m,best_rms_s,best_source_lag_s,stations_used
ETVZ:seis_pick_1/inf_pick_1 | NGZ:seis_pick_1/inf_pick_2 | NOVZ:seis_pick_1/inf_pick_2 | OTVZ:seis_pick_1/inf_pick_2 | SNVZ:seis_pick_2/inf_pick_1,S1I1S1I2S1I2S1I2S2I1,3000.0,3.0,1828040.0,5661584.0,1704.531738,0.13966935745710402,-0.22881228866047518,5
ETVZ:seis_pick_2/inf_pick_1 | NGZ:seis_pick_1/inf_pick_2 | NOVZ:seis_pick_1/inf_pick_1 | OTVZ:seis_pick_1/inf_pick_2 | SNVZ:seis_pick_1/inf_pick_1,S2I1S1I2S1I1S1I2S1I1,3000.0,3.0,1828040.0,5661968.0,1927.026855,0.1449767441278897,-0.4682372767273499,5
ETVZ:seis_pick_1/inf_pick_1 | NGZ:seis_pick_1/inf_pick_2 | NOVZ:seis_pick_2/inf_pick_2 | OTVZ:seis_pick_1/inf_pick_2 | SNVZ:seis_pick_1/inf_pick_1,S1I1S1I2S2I2S1I2S1I1,2500.0,2.5,1827944.0,5661776.0,1826.723999,0.14605642096239063,0.03348706779626855,5
ETVZ:seis_pick_2/inf_pick_1 | NGZ:seis_pick_1/inf_pick_2 | NOVZ:seis_pick_2/inf_pick_2 | OTVZ:seis_pick_1/inf_pick_2 | SNVZ:seis_pick_1/inf_pick_1,S2I1S1I2S2I2S1I2S1I1,3000.0,3.0,1828040.0,5661872.0,1862.954834,0.14845124508303068,-0.34705268403914874,5
ETVZ:seis_pick_1/inf_pick_1 | NGZ:seis_pick_1/inf_pick_2 | NOVZ:seis_pick_1/inf_pick_2 | OTVZ:seis_pick_1/inf_pick_2 | SNVZ:seis_pick_2/inf_pick_1,S1I1S1I2S1I2S1I2S2I1,3300.0,3.3,1828040.0,5661584.0,1704.531738,0.15112014116525996,-0.35028801778110275,5
ETVZ:seis_pick_1/inf_pick_1 | NGZ:seis_pick_1/inf_pick_2 | NOVZ:seis_pick_1/inf_pick_2 | OTVZ:seis_pick_1/inf_pick_2 | SNVZ:seis_pick_1/inf_pick_1,S1I1S1I2S1I2S1I2S1I1,3300.0,3.3,1828040.0,5661776.0,1817.950928,0.15175401625489557,-0.19235322900999527,5
ETVZ:seis_pick_1/inf_pick_1 | NGZ:seis_pick_1/inf_pick_2 | NOVZ:seis_pick_1/inf_pick_1 | OTVZ:seis_pick_1/inf_pick_2 | SNVZ:seis_pick_1/inf_pick_1,S1I1S1I2S1I1S1I2S1I1,3000.0,3.0,1827944.0,5661872.0,1879.445679,0.15223149057010743,-0.3470286623841032,5
ETVZ:seis_pick_2/inf_pick_1 | NGZ:seis_pick_2/inf_pick_1 | NOVZ:seis_pick_1/inf_pick_2 | OTVZ:seis_pick_1/inf_pick_2 | SNVZ:seis_pick_1/inf_pick_1,S2I1S2I1S1I2S1I2S1I1,2500.0,2.5,1828232.0,5661776.0,1756.203979,0.15322731799148376,0.2769923361254191,5
ETVZ:seis_pick_1/inf_pick_1 | NGZ:seis_pick_2/inf_pick_2 | NOVZ:seis_pick_1/inf_pick_1 | OTVZ:seis_pick_1/inf_pick_2 | SNVZ:seis_pick_2/inf_pick_1,S1I1S2I2S1I1S1I2S2I1,2500.0,2.5,1827848.0,5661680.0,1823.050049,0.15609817362923956,-0.44624865272630265,5
ETVZ:seis_pick_2/inf_pick_1 | NGZ:seis_pick_2/inf_pick_2 | NOVZ:seis_pick_2/inf_pick_2 | OTVZ:seis_pick_1/inf_pick_2 | SNVZ:seis_pick_2/inf_pick_1,S2I1S2I2S2I2S1I2S2I1,2500.0,2.5,1827944.0,5661584.0,1737.253296,0.15634232163554712,-0.4320432161763598,5
ETVZ:seis_pick_1/inf_pick_1 | NGZ:seis_pick_2/inf_pick_2 | NOVZ:seis_pick_1/inf_pick_2 | OTVZ:seis_pick_1/inf_pick_2 | SNVZ:seis_pick_2/inf_pick_1,S1I1S2I2S1I2S1I2S2I1,2500.0,2.5,1827944.0,5661488.0,1710.052002,0.15800604165237642,-0.17504995509761798,5
ETVZ:seis_pick_1/inf_pick_1 | NGZ:seis_pick_2/inf_pick_2 | NOVZ:seis_pick_1/inf_pick_1 | OTVZ:seis_pick_1/inf_pick_2 | SNVZ:seis_pick_1/inf_pick_1,S1I1S2I2S1I1S1I2S1I1,3300.0,3.3,1827848.0,5661872.0,1910.128296,0.15805956300741675,-0.6900165220915149,5
ETVZ:seis_pick_2/inf_pick_1 | NGZ:seis_pick_1/inf_pick_2 | NOVZ:seis_pick_1/inf_pick_2 | OTVZ:seis_pick_2/inf_pick_2 | SNVZ:seis_pick_2/inf_pick_1,S2I1S1I2S1I2S2I2S2I1,3300.0,3.3,1828232.0,5661584.0,1658.624878,0.15862861532440514,-0.696082680390326,5
ETVZ:seis_pick_2/inf_pick_1 | NGZ:seis_pick_2/inf_pick_1 | NOVZ:seis_pick_2/inf_pick_1 | OTVZ:seis_pick_1/inf_pick_2 | SNVZ:seis_pick_2/inf_pick_2,S2I1S2I1S2I1S1I2S2I2,3300.0,3.3,1828040.0,5662448.0,2043.867798,0.16512660953320754,-0.35897855332580253,5
ETVZ:seis_pick_1/inf_pick_1 | NGZ:seis_pick_2/inf_pick_2 | NOVZ:seis_pick_1/inf_pick_1 | OTVZ:seis_pick_1/inf_pick_2 | SNVZ:seis_pick_1/inf_pick_1,S1I1S2I2S1I1S1I2S1I1,3000.0,3.0,1827848.0,5661872.0,1910.128296,0.1666804283425389,-0.567276197066884,5
ETVZ:seis_pick_2/inf_pick_1 | NGZ:seis_pick_1/inf_pick_2 | NOVZ:seis_pick_1/inf_pick_1 | OTVZ:seis_pick_1/inf_pick_2 | SNVZ:seis_pick_1/inf_pick_1,S2I1S1I2S1I1S1I2S1I1,3300.0,3.3,1828040.0,5661968.0,1927.026855,0.16812291596242773,-0.5905364003768071,5
ETVZ:seis_pick_2/inf_pick_1 | NGZ:seis_pick_1/inf_pick_1 | NOVZ:seis_pick_1/inf_pick_2 | OTVZ:seis_pick_1/inf_pick_2 | SNVZ:seis_pick_2/inf_pick_2,S2I1S1I1S1I2S1I2S2I2,2500.0,2.5,1828328.0,5662160.0,1795.425903,0.1711847641619249,0.7982606917100382,5
ETVZ:seis_pick_2/inf_pick_1 | NGZ:seis_pick_1/inf_pick_1 | NOVZ:seis_pick_1/inf_pick_2 | OTVZ:seis_pick_1/inf_pick_2 | SNVZ:seis_pick_2/inf_pick_2,S2I1S1I1S1I2S1I2S2I2,3000.0,3.0,1828328.0,5662160.0,1795.425903,0.172690973909258,0.5308242882101192,5
ETVZ:seis_pick_1/inf_pick_1 | NGZ:seis_pick_2/inf_pick_2 | NOVZ:seis_pick_1/inf_pick_2 | OTVZ:seis_pick_1/inf_pick_2 | SNVZ:seis_pick_2/inf_pick_1,S1I1S2I2S1I2S1I2S2I1,3000.0,3.0,1827944.0,5661488.0,1710.052002,0.1760032204842644,-0.4431071640880752,5
ETVZ:seis_pick_2/inf_pick_1 | NGZ:seis_pick_1/inf_pick_1 | NOVZ:seis_pick_1/inf_pick_1 | OTVZ:seis_pick_1/inf_pick_2 | SNVZ:seis_pick_2/inf_pick_2,S2I1S1I1S1I1S1I2S2I2,2500.0,2.5,1828232.0,5662352.0,1933.467285,0.18051618717864384,0.46646070532108774,5
ETVZ:seis_pick_2/inf_pick_1 | NGZ:seis_pick_2/inf_pick_1 | NOVZ:seis_pick_2/inf_pick_1 | OTVZ:seis_pick_1/inf_pick_2 | SNVZ:seis_pick_2/inf_pick_2,S2I1S2I1S2I1S1I2S2I2,3000.0,3.0,1828040.0,5662448.0,2043.867798,0.18597399323668373,-0.2349119979143989,5
ETVZ:seis_pick_1/inf_pick_1 | NGZ:seis_pick_1/inf_pick_1 | NOVZ:seis_pick_1/inf_pick_2 | OTVZ:seis_pick_1/inf_pick_2 | SNVZ:seis_pick_2/inf_pick_2,S1I1S1I1S1I2S1I2S2I2,3300.0,3.3,1828232.0,5662160.0,1873.492554,0.1882243171434921,0.49240013605734045,5
ETVZ:seis_pick_2/inf_pick_1 | NGZ:seis_pick_1/inf_pick_2 | NOVZ:seis_pick_1/inf_pick_2 | OTVZ:seis_pick_2/inf_pick_2 | SNVZ:seis_pick_2/inf_pick_1,S2I1S1I2S1I2S2I2S2I1,3000.0,3.0,1828232.0,5661584.0,1658.624878,0.18944484328459263,-0.575156076916271,5
ETVZ:seis_pick_2/inf_pick_1 | NGZ:seis_pick_1/inf_pick_2 | NOVZ:seis_pick_2/inf_pick_2 | OTVZ:seis_pick_1/inf_pick_2 | SNVZ:seis_pick_1/inf_pick_1,S2I1S1I2S2I2S1I2S1I1,3300.0,3.3,1828040.0,5661872.0,1862.954834,0.19059483162054106,-0.4690077071775557,5
